feature,word_or_column,importance
tfidf_64,logs,0.0
tfidf_66,mechanism,0.0
tfidf_67,meets,0.0
tfidf_47,feature,0.0
tfidf_45,experiencing,0.0
tfidf_24,ensure,0.0
tfidf_44,errors,0.0
tfidf_25,enterprise,0.0
tfidf_26,entire,0.0
tfidf_27,error,0.0
tfidf_29,error_conflict_409,0.0
tfidf_30,error_connection_refused,0.0
tfidf_31,error_corruption,0.0
tfidf_33,error_disk_full,0.0
tfidf_34,error_invalid_400,0.0
tfidf_35,error_memory_oom,0.0
tfidf_36,error_notfound_404,0.0
tfidf_37,error_parsing,0.0
tfidf_38,error_permission_403,0.0
tfidf_39,error_ratelimit_429,0.0
tfidf_40,error_server_500,0.0
tfidf_41,error_ssl_cert,0.0
tfidf_42,error_timeout_429,0.0
tfidf_43,error_validation,0.0
tfidf_153,[OUT OF RANGE],0.0
